project_name,debian_source,debian_version,debian_desc,debian_home,CVE_since_2010,CVE_page,openhub_page,openhub_name,openhub_desc,openhub_home,openhub_download,twelve_month_contributor_count,total_contributor_count,total_code_lines,main_language_name,licenses,fact_activity,fact_age,fact_comments,fact_team_size,package_popularity,implemented_in,role,direct_network_exposure,process_network_data,potential_privilege_escalation,risk_index(max = 15),risk_index components,comment_on_priority
apache2,,2.2.22-13+deb7u3,Apache HTTP Server metapackage,http://httpd.apache.org/,47,https://security-tracker.debian.org/tracker/source-package/apache2,https://www.openhub.net/projects/apache,Apache HTTP Server,"The Apache HTTP Server Project is a collaborative software development effort aimed at creating a robust, commercial-grade, feature-rich, and freely-available source code implementation of an HTTP (Web) server. The project is jointly managed by a group of volunteers located around the world, using the Internet and the Web to communicate, plan, and develop the server and its related documentation. This project is part of the Apache Software Foundation. In addition, hundreds of users have contributed ideas, code, and documentation to the project.",http://httpd.apache.org/,http://httpd.apache.org/download.cgi,30,117,1760653,C,apache_2,Stable Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Very large, active development team",64007,c,metapackage,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Vitally important.  Note, however, that there's already large development & review team in place."
apache2-utils,apache2,2.2.22-13+deb7u3,utility programs for webservers,http://httpd.apache.org/,47,https://security-tracker.debian.org/tracker/source-package/apache2,https://www.openhub.net/projects/apache,Apache HTTP Server,"The Apache HTTP Server Project is a collaborative software development effort aimed at creating a robust, commercial-grade, feature-rich, and freely-available source code implementation of an HTTP (Web) server. The project is jointly managed by a group of volunteers located around the world, using the Internet and the Web to communicate, plan, and develop the server and its related documentation. This project is part of the Apache Software Foundation. In addition, hundreds of users have contributed ideas, code, and documentation to the project.",http://httpd.apache.org/,http://httpd.apache.org/download.cgi,30,117,1760653,C,apache_2,Stable Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Very large, active development team",75173,c,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Vitally important.  Note, however, that there's already large development & review team in place."
bind9-host,bind9,1:9.8.4.dfsg.P1-6+nmu2+deb7u3,Version of 'host' bundled with BIND 9.X,,34,https://security-tracker.debian.org/tracker/source-package/bind9,https://www.openhub.net/projects/bind,BIND (Berkeley Internet Name Domain),"BIND (Berkeley Internet Name Domain) is an implementation of the Domain Name System (DNS) protocols and provides an openly redistributable reference implementation of the major components of the Domain Name System, including a Domain Name System server, a Domain Name System resolver library and tools for verifying the proper operation of the DNS server.",https://www.isc.org/wordpress/software/bind/,https://www.isc.org/wordpress/downloads/,9,48,648199,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",166201,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Bind9 is critical for security. It does have active development. Support is via mailing lists. Very active development, issue tracker intentionally not public...claimed to be ""huge backlog"" of issues. Public git repo. Active history of CVEs raised and fixed. ++"
bzip2,,1.0.6-4,high-quality block-sorting file compressor - utilities,http://www.bzip.org/,2,https://security-tracker.debian.org/tracker/source-package/bzip2,https://www.openhub.net/projects/bzip2,bzip2,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression.",http://bzip.org/,http://www.bzip.org/downloads.html,,,,,BSD-3-Clause,,,,,161114,c,program,0,1,0,9,"Website points: 0, CVE: 2, 12-month contributor: 2, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Bzip2 is widely used for decompression of network-supplied data. No code repo, only released code source tarballs. This is the reference implementation, many alternate implementations shown on https://en.wikipedia.org/wiki/Bzip2. Last release in 2010, v1.0.6, in response to CVE-2010-0405. No forums found. At least one HTTP server supports bzip2 for compression.  +++"
curl,,7.26.0-1+wheezy11,command line tool for transferring data with URL syntax,http://curl.haxx.se,27,https://security-tracker.debian.org/tracker/source-package/curl,https://www.openhub.net/projects/curl,cURL,"curl is a command line tool and library for transferring data with URL syntax, supporting DICT, FILE, FTP, FTPS, Gopher, HTTP, HTTPS, IMAP, IMAPS, LDAP, LDAPS, POP3, POP3S, RTMP, RTSP, SCP, SFTP, SMB, SMTP, SMTPS, Telnet and TFTP. curl supports SSL certificates, HTTP POST, HTTP PUT, FTP uploading, HTTP form based upload, proxies, HTTP/2, cookies, user+password authentication (Basic, Plain, Digest, CRAM-MD5, NTLM, Negotiate and Kerberos), file transfer resume, proxy tunneling and more.",http://curl.haxx.se/,http://curl.haxx.se/download.html,100,345,216504,C,mit,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Very large, active development team",65283,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Telnet is a fundamentally insecure protocol and is being phased out.
db5.1-util,db,5.1.29-5,Berkeley v5.1 Database Utilities,http://www.oracle.com/technology/software/products/berkeley-db/index.html,0,https://security-tracker.debian.org/tracker/source-package/db,https://www.openhub.net/projects/berkeleydb,Berkeley DB,"Berkeley DB (BDB) is a high-performance, embedded database library with bindings in C, C++, Java, Perl, Python, Tcl, Smalltalk and many other programming languages. BDB stores arbitrary key/data pairs as byte arrays, and supports multiple data items for a single key. BDB can support thousands of simultaneous threads of control or concurrent processes manipulating databases as large as 256 terabytes, on a wide variety of systems including most UNIX-like and Windows systems as well as real-time operating systems.",http://www.oracle.com/technology/products/berkeley-db/db/index.html,,0,3,1746106,C,sleepycat,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,No recent development activity,68928,,program,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
debianutils,,4.3.2,Miscellaneous utilities specific to Debian,,0,https://security-tracker.debian.org/tracker/source-package/debianutils,https://www.openhub.net/projects/debian-installer-utils,debian-installer-utils,,,,3,89,1170,shell script,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Few source code comments,Small development team,175853,c,program,0,0,0,9,"Website points: 1, CVE: 0, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0","Collection of small tools.The tempfile(1) command is security-relevant (temp file mistakes are a common security vulnerability) but is relatively small, and usually the problem is a failure to use tempfile(1) or similar."
dnsutils,bind9,1:9.8.4.dfsg.P1-6+nmu2+deb7u3,Clients provided with BIND,,34,https://security-tracker.debian.org/tracker/source-package/bind9,https://www.openhub.net/projects/bind,BIND (Berkeley Internet Name Domain),"BIND (Berkeley Internet Name Domain) is an implementation of the Domain Name System (DNS) protocols and provides an openly redistributable reference implementation of the major components of the Domain Name System, including a Domain Name System server, a Domain Name System resolver library and tools for verifying the proper operation of the DNS server.",https://www.isc.org/wordpress/software/bind/,https://www.isc.org/wordpress/downloads/,9,48,648199,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",161725,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Bind9 is critical for security. It does have active development. ++
dpkg,,1.16.15,Debian package management system,http://wiki.debian.org/Teams/Dpkg,10,https://security-tracker.debian.org/tracker/source-package/dpkg,https://www.openhub.net/projects/dpkg,dpkg,Debian's PacKaGe manager,http://wiki.debian.org/Teams/Dpkg/,http://packages.debian.org/src:dpkg,43,205,64794,C,bsd_2clause_ish GNU_General_Public_License_v2_0_only gpl Public_Domain,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Very large, active development team",175850,c,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Should primarily be managing data from trusted source; if it ensures data source okay, less risky."
eject,,2.1.5+deb1+cvs20081104-13,ejects CDs and operates CD-Changers under Linux,http://www.pobox.com/~tranter/eject.html,0,https://security-tracker.debian.org/tracker/source-package/eject,https://www.openhub.net/projects/eject,eject utility for removable media,"Eject allows  removable media (typically a CD-ROM, floppy disk, tape, or JAZ or ZIP disk) to be ejected under  software control. The command can also control some multi-disc CD-ROM changers, the auto-eject feature supported by  some devices, and more.",http://sourceforge.net/projects/eject,,0,1,1247,C,,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,No recent development activity,159896,c,program,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
exim4,,4.80-7+deb7u1,metapackage to ease Exim MTA (v4) installation,http://www.exim.org/,10,https://security-tracker.debian.org/tracker/source-package/exim4,https://www.openhub.net/projects/exim,Exim,"Exim is a message transfer agent (MTA) developed for Unix systems connected to the Internet. It is similar to Smail 3, but expands on Smail features.",http://www.exim.org/,http://www.exim.org/mirrors.html,19,40,115583,C,gpl,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Large, active development team",126419,c,dummy,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","This is an MTA, thus has to process untrustworthy data.  Mailing lists, bugzilla tracker, public git repo. Active history of CVE issues and fixes. Active with 16 contributors in last year. ++"
exim4-base,exim4,4.80-7+deb7u1,support files for all Exim MTA (v4) packages,http://www.exim.org/,10,https://security-tracker.debian.org/tracker/source-package/exim4,https://www.openhub.net/projects/exim,Exim,"Exim is a message transfer agent (MTA) developed for Unix systems connected to the Internet. It is similar to Smail 3, but expands on Smail features.",http://www.exim.org/,http://www.exim.org/mirrors.html,19,40,115583,C,gpl,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Large, active development team",129916,c,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++"
exim4-config,exim4,4.80-7+deb7u1,configuration for the Exim MTA (v4),http://www.exim.org/,10,https://security-tracker.debian.org/tracker/source-package/exim4,https://www.openhub.net/projects/exim,Exim,"Exim is a message transfer agent (MTA) developed for Unix systems connected to the Internet. It is similar to Smail 3, but expands on Smail features.",http://www.exim.org/,http://www.exim.org/mirrors.html,19,40,115583,C,gpl,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Large, active development team",130159,shell,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++"
exim4-daemon-light,exim4,4.80-7+deb7u1,lightweight Exim MTA (v4) daemon,http://www.exim.org/,10,https://security-tracker.debian.org/tracker/source-package/exim4,https://www.openhub.net/projects/exim,Exim,"Exim is a message transfer agent (MTA) developed for Unix systems connected to the Internet. It is similar to Smail 3, but expands on Smail features.",http://www.exim.org/,http://www.exim.org/mirrors.html,19,40,115583,C,gpl,Increasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Large, active development team",127635,c,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","This is an MTA, thus has to process untrustworthy data.  There are several MTA in use; should we focus on this one? ++"
fakeroot,,1.18.4-2,tool for simulating superuser privileges,,0,https://security-tracker.debian.org/tracker/source-package/fakeroot,https://www.openhub.net/projects/6854,fakeroot,Gives a fake root environment through the use of LD_PRELOAD and SYSV IPC or TCP IPC trickery.,http://packages.debian.org/fakeroot,http://packages.debian.org/fakeroot,0,3,4906,C,,,,,,89621,shell,shared-lib,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
ftp,netkit-ftp,0.17-27,classical file transfer client,,0,https://security-tracker.debian.org/tracker/source-package/netkit-ftp,,,,,,,,,,,,,,,153650,c,program,1,0,0,9,"Website points: 1, CVE: 0, 12-month contributor: 2, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Ftp isn't secure by itself, and the ftp client is less commonly used now.  That said, it certainly is used and connects to the wide Internet."
ifupdown,,0.7.8,high level tools to configure network interfaces,,0,https://security-tracker.debian.org/tracker/source-package/ifupdown,https://www.openhub.net/projects/ifupdown-ng,ifupdown-ng,Next-generation network interface configuration tool,https://github.com/kmoffett/ifupdown-ng,https://github.com/kmoffett/ifupdown-ng/downloads,0,1,830,Python,,Stable Y-O-Y development activity,Short source control history,Well-commented source code,No recent development activity,175544,c,program,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
initscripts,sysvinit,2.88dsf-41+deb7u1,scripts for initializing and shutting down the system,http://savannah.nongnu.org/projects/sysvinit,0,https://security-tracker.debian.org/tracker/source-package/sysvinit,https://www.openhub.net/projects/sysvinit,sysvinit,"The Sysvinit package contains programs for controlling the startup, running, and shutdown of the system.",http://savannah.nongnu.org/projects/sysvinit,,0,2,8054,C,gpl,Decreasing Y-O-Y development activity,Well-established codebase,Average number of code comments,No recent development activity,175824,shell,program,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
insserv,,1.14.0-5,boot sequence organizer using LSB init.d script dependency information,http://savannah.nongnu.org/projects/sysvinit,0,https://security-tracker.debian.org/tracker/source-package/insserv,https://www.openhub.net/projects/sysvinit,sysvinit,"The Sysvinit package contains programs for controlling the startup, running, and shutdown of the system.",http://savannah.nongnu.org/projects/sysvinit,,0,2,8054,C,gpl,Decreasing Y-O-Y development activity,Well-established codebase,Average number of code comments,No recent development activity,168813,c,program,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
isc-dhcp-client,isc-dhcp,4.2.2.dfsg.1-5+deb70u6,ISC DHCP client,,22,https://security-tracker.debian.org/tracker/source-package/isc-dhcp,https://www.openhub.net/projects/4273,DHCP (ISC),"The Internet Systems Consortium (ISC) offers a Dynamic Host Configuration Protocol (DHCP) distribution including a DHCP server, client and relay agent. This distribution supports POSIX-compliant operating systems and also non-POSIX systems like Windows NT and MacOS.",http://www.isc.org/downloads/dhcp/,http://ftp.isc.org/isc/dhcp/,6,22,124066,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Average size development team,165366,c,program,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","In wide use, accepts data from external sources.  Includes dhclient. Very similar to BIND. Perhaps slightly less active, lower developer count, but steady commits and releases. Somewhat critical due to being core network functionality. ++"
libattr1,attr,1:2.4.46-8,Extended attribute shared library,http://savannah.nongnu.org/projects/attr/,0,https://security-tracker.debian.org/tracker/source-package/attr,https://www.openhub.net/projects/attr,Linux Extended Attributes,"A set of tools for manipulating extended attributes on filesystem objects, in particular getfattr(1) and setfattr(1).
An attr(1) command is also provided which is largely compatible with the SGI IRIX tool of the same name.",http://savannah.nongnu.org/projects/attr,http://savannah.nongnu.org/files/?group=attr,2,27,2691,C,gpl,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Small development team,175847,c,shared-lib,0,0,1,9,"Website points: 0, CVE: 0, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0",Actual acl checking implemented by the kernel.
libbind9-80,bind9,1:9.8.4.dfsg.P1-6+nmu2+deb7u3,BIND9 Shared Library used by BIND,,34,https://security-tracker.debian.org/tracker/source-package/bind9,https://www.openhub.net/projects/bind,BIND (Berkeley Internet Name Domain),"BIND (Berkeley Internet Name Domain) is an implementation of the Domain Name System (DNS) protocols and provides an openly redistributable reference implementation of the major components of the Domain Name System, including a Domain Name System server, a Domain Name System resolver library and tools for verifying the proper operation of the DNS server.",https://www.isc.org/wordpress/software/bind/,https://www.isc.org/wordpress/downloads/,9,48,648199,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",77139,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Bind9 is critical for security. It does have active development. ++
libbz2-1.0,bzip2,1.0.6-4,high-quality block-sorting file compressor library - runtime,http://www.bzip.org/,2,https://security-tracker.debian.org/tracker/source-package/bzip2,https://www.openhub.net/projects/bzip2,bzip2,"bzip2 is a freely available, patent free, high-quality data compressor. It typically compresses files to within 10% to 15% of the best available techniques (the PPM family of statistical compressors), whilst being around twice as fast at compression and six times faster at decompression.",http://bzip.org/,http://www.bzip.org/downloads.html,,,,,BSD-3-Clause,,,,,175844,c,shared-lib,0,1,0,9,"Website points: 0, CVE: 2, 12-month contributor: 2, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0",Bzip2 is widely used for decompression of network-supplied data. ++
libdb5.1,db,5.1.29-5,Berkeley v5.1 Database Libraries [runtime],http://www.oracle.com/technology/software/products/berkeley-db/index.html,0,https://security-tracker.debian.org/tracker/source-package/db,https://www.openhub.net/projects/berkeleydb,Berkeley DB,"Berkeley DB (BDB) is a high-performance, embedded database library with bindings in C, C++, Java, Perl, Python, Tcl, Smalltalk and many other programming languages. BDB stores arbitrary key/data pairs as byte arrays, and supports multiple data items for a single key. BDB can support thousands of simultaneous threads of control or concurrent processes manipulating databases as large as 256 terabytes, on a wide variety of systems including most UNIX-like and Windows systems as well as real-time operating systems.",http://www.oracle.com/technology/products/berkeley-db/db/index.html,,0,3,1746106,C,sleepycat,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,No recent development activity,91187,,shared-lib,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libdns88,bind9,1:9.8.4.dfsg.P1-6+nmu2+deb7u3,DNS Shared Library used by BIND,,34,https://security-tracker.debian.org/tracker/source-package/bind9,https://www.openhub.net/projects/bind,BIND (Berkeley Internet Name Domain),"BIND (Berkeley Internet Name Domain) is an implementation of the Domain Name System (DNS) protocols and provides an openly redistributable reference implementation of the major components of the Domain Name System, including a Domain Name System server, a Domain Name System resolver library and tools for verifying the proper operation of the DNS server.",https://www.isc.org/wordpress/software/bind/,https://www.isc.org/wordpress/downloads/,9,48,648199,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",76640,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Bind9 is critical for security. It does have active development. ++
libedit2,libedit,2.11-20080614-5,BSD editline and history libraries,http://ftp.netbsd.org/pub/NetBSD/NetBSD-current/src/lib/libedit/,0,https://security-tracker.debian.org/tracker/source-package/libedit,https://www.openhub.net/projects/libedit-merge,libedit-merge,,http://github.com/alloy/libedit-merge,,0,1,32187,C,,Stable Y-O-Y development activity,Short source control history,Average number of code comments,No recent development activity,175572,c,shared-lib,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libgnutls26,gnutls26,2.12.20-8+deb7u2,GNU TLS library - runtime library,http://www.gnutls.org/,21,https://security-tracker.debian.org/tracker/source-package/gnutls26,https://www.openhub.net/projects/gnutls,GnuTLS,"GnuTLS is a secure communications library implementing the SSL and TLS protocols and technologies around them. It provides a simple C language application programming interface (API) to access the secure communications protocols as well as APIs to parse and write X.509, PKCS #12, OpenPGP and other required structures. It is aimed to be portable and efficient with focus on security and interoperability.",http://www.gnutls.org,,21,79,185927,C,gpl3_or_later lgpl21_or_later,Stable Y-O-Y development activity,"Mature, well-established codebase",Well-commented source code,"Large, active development team",124829,c,shared-lib,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","TLS implementation.  Less used than OpenSSL, but is in use (it avoids OpenSSL licensing issues). Good ""security activity"" metrics, except suspiciously empty GitLab issue tracker, especially when Debian Security page shows many existing vulnerabilities. They may sweep the public issue tracker so as not to expose what they're trying to fix before it's ready. Notably still supporting SSL 3.0, which has known exploits. There is evidence they do stay on top of things, though. They have responded to questions regarding FREAK in their mailing lists, explaining gnutls is not vulnerable due to how it operates. ++"
libgssapi-krb5-2,krb5,1.10.1+dfsg-5+deb7u2,MIT Kerberos runtime libraries - krb5 GSS-API Mechanism,http://web.mit.edu/kerberos/,45,https://security-tracker.debian.org/tracker/source-package/krb5,https://www.openhub.net/projects/kerberos,Kerberos,Kerberos is a network authentication protocol. It is designed to provide strong authentication for client/server applications by using secret-key cryptography.,http://web.mit.edu/Kerberos/,http://web.mit.edu/Kerberos/dist/index.html,21,96,388789,C,mit,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",168794,c,shared-lib,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Vital when using Kerberos; unclear how common that is today. (For Windows, may use SAMBA)"
libice6,libice,2:1.0.8-2,X11 Inter-Client Exchange library,,0,https://security-tracker.debian.org/tracker/source-package/libice,https://www.openhub.net/projects/libice,libice,ICE - Is a generic module for Interactive Connectivity Establishment to make better flow of data between the endpoints in the internet. This is mostly used to intiate the media session between the endpoints. It is written in Purely ANSI C so that it can be compiled to embedded platforms.,http://code.google.com/p/libice,,0,1,0,,gpl,Stable Y-O-Y development activity,Short source control history,,No recent development activity,139449,c,shared-lib,0,0,0,9,"Website points: 0, CVE: 0, 12-month contributor: 5, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libkeyutils1,keyutils,1.5.5-3+deb7u1,Linux Key Management Utilities (library),http://people.redhat.com/~dhowells/keyutils/,0,https://security-tracker.debian.org/tracker/source-package/keyutils,https://www.openhub.net/projects/keyutils,keyutils,Linux Key Management Utilities,https://github.com/pld-linux/keyutils,,1,4,0,,,Stable Y-O-Y development activity,"Mature, well-established codebase",,Only a single active developer,173968,c,shared-lib,0,1,0,9,"Website points: 0, CVE: 0, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 1 , Data only: 0","Manages authorization and encryption keys required to perform secure operations. Public Repo, NO bug tracker, NO mailing list. ++"
libkrb5-3,krb5,1.10.1+dfsg-5+deb7u2,MIT Kerberos runtime libraries,http://web.mit.edu/kerberos/,45,https://security-tracker.debian.org/tracker/source-package/krb5,https://www.openhub.net/projects/kerberos,Kerberos,Kerberos is a network authentication protocol. It is designed to provide strong authentication for client/server applications by using secret-key cryptography.,http://web.mit.edu/Kerberos/,http://web.mit.edu/Kerberos/dist/index.html,21,96,388789,C,mit,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",168801,c,shared-lib,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Vital when using Kerberos; unclear how common that is today. (For Windows, may use SAMBA)"
libldap-2.4-2,openldap,2.4.31-1+nmu2,OpenLDAP libraries,http://www.openldap.org/,13,https://security-tracker.debian.org/tracker/source-package/openldap,https://www.openhub.net/projects/openldap,OpenLDAP,"OpenLDAP Software is the premier open source implementation of the Lightweight Directory Access Protocol. It is the most reliable and standards-compliant. Since 2005 it has been the world's fastest; it is the gold standard against which all other directory software is compared.

The suite includes:

* slapd - stand-alone LDAP daemon (server)
* libraries implementing the LDAP protocol, and
* utilities, tools, and sample clients.",http://www.openldap.org/,http://www.openldap.org/software/download/,18,104,564452,C,OpenLDAP_Public_License,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",172603,c,shared-lib,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Wide use, vitally important. Very active. Public repo, issue tracker, lists, active development, closing CVEs, the works. This is vitally important, but they appear to have things in hand in terms of project activity. ++"
liblwres80,bind9,1:9.8.4.dfsg.P1-6+nmu2+deb7u3,Lightweight Resolver Library used by BIND,,34,https://security-tracker.debian.org/tracker/source-package/bind9,https://www.openhub.net/projects/bind,BIND (Berkeley Internet Name Domain),"BIND (Berkeley Internet Name Domain) is an implementation of the Domain Name System (DNS) protocols and provides an openly redistributable reference implementation of the major components of the Domain Name System, including a Domain Name System server, a Domain Name System resolver library and tools for verifying the proper operation of the DNS server.",https://www.isc.org/wordpress/software/bind/,https://www.isc.org/wordpress/downloads/,9,48,648199,C,isc,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",76756,,,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Bind9 is critical for security. It does have active development. ++
libmpfr4,mpfr4,3.1.0-5,multiple precision floating-point computation,http://www.mpfr.org/,1,https://security-tracker.debian.org/tracker/source-package/mpfr4,https://www.openhub.net/projects/gnu-mpfr,GNU MPFR,Provides a library for multiple-precision floating-point computation with correct rounding. The computation is both efficient and has a well-defined semantics. It copies the good ideas from the ANSI/IEEE-754 standard for double-precision floating-point arithmetic.,http://www.mpfr.org/,http://www.mpfr.org/mpfr-current/,2,17,91557,C,lgpv3_or_later,Decreasing Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,Small development team,142940,c,shared-lib,0,0,0,9,"Website points: 0, CVE: 1, 12-month contributor: 4, Popularity: 2, Language: 2, Exposure: 0 , Data only: 0",
libpam-modules,pam,1.1.3-7.1,Pluggable Authentication Modules for PAM,http://pam.sourceforge.net/,15,https://security-tracker.debian.org/tracker/source-package/pam,https://www.openhub.net/projects/linux-pam,Linux-PAM,Linux-PAM (Pluggable Authentication Modules for Linux) project.,http://www.linux-pam.org,https://fedorahosted.org/releases/l/i/linux-pam/,7,20,57169,C,BSD-3-Clause gpl gpl3,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",175849,c,plugin,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0","Critical central role for authentication.  Real site is http://www.linux-pam.org/ (Debian lists as http://pam.sourceforge.net/ but that points to https://fedorahosted.org/linux-pam/ which points to this). It has a somewhat active mailing list, and an active issue tracker where issues are clearly opened and closed. Stable version is somewhat old (2013); recent changes in git though relatively small (https://git.fedorahosted.org/cgit/linux-pam.git/) ++"
libpam0g,pam,1.1.3-7.1,Pluggable Authentication Modules library,http://pam.sourceforge.net/,15,https://security-tracker.debian.org/tracker/source-package/pam,https://www.openhub.net/projects/linux-pam,Linux-PAM,Linux-PAM (Pluggable Authentication Modules for Linux) project.,http://www.linux-pam.org,https://fedorahosted.org/releases/l/i/linux-pam/,7,20,57169,C,BSD-3-Clause gpl gpl3,Stable Y-O-Y development activity,"Mature, well-established codebase",Average number of code comments,"Large, active development team",175848,c,shared-lib,1,0,0,9,"Website points: 0, CVE: 3, 12-month contributor: 0, Popularity: 2, Language: 2, Exposure: 2 , Data only: 0",Critical central role for authentication; not very active.  Concerning. ++
